aX,aY,aZ,gX,gY,gZ
-0.140,0.027,0.937,-6.409,5.554,3.479
-0.132,0.041,0.957,-5.676,4.028,3.540
-0.129,0.045,0.986,-1.465,3.174,2.686
-0.137,0.027,0.929,-1.038,3.296,2.991
-0.133,0.042,0.957,-9.644,-0.610,5.676
-0.127,0.094,0.926,-9.583,0.488,4.883
-0.130,0.079,0.946,-5.188,-2.258,-1.709
-0.144,0.015,0.979,-1.160,-0.183,-2.686
-0.137,0.030,0.940,1.160,1.892,1.099
-0.127,0.074,0.972,-0.977,0.183,1.648
-0.133,0.067,0.959,-0.671,0.427,0.671
-0.135,0.048,0.954,0.916,-1.953,-0.671
-0.128,0.054,0.966,2.014,-2.441,-0.610
-0.128,0.052,0.960,1.282,-4.456,-1.953
-0.129,0.042,1.017,-0.427,-4.883,-1.831
-0.129,0.044,1.028,-0.183,-0.427,-1.038
-0.142,0.045,1.038,0.305,1.953,-1.221

-0.310,1.208,-0.802,73.242,117.859,61.707
-0.360,1.125,-0.666,54.626,101.990,14.160
-0.529,0.971,-0.972,46.753,106.934,9.827
-0.522,0.976,-1.106,10.864,72.388,25.879
-0.350,0.979,-0.999,-10.071,47.058,32.227
-0.252,0.952,-0.852,-32.043,15.381,28.381
-0.101,0.711,-0.635,-22.400,9.216,22.522
-0.050,0.598,-0.591,-7.690,6.775,19.104
-0.005,0.571,-0.599,6.775,15.198,15.320
0.042,0.687,-0.853,7.629,20.752,9.705
0.050,0.716,-0.982,0.000,10.803,-3.967
0.096,0.617,-0.823,-6.104,-2.258,-6.287
0.144,0.531,-0.608,1.160,-6.836,-0.244
0.180,0.540,-0.515,10.071,4.028,2.747
0.150,0.640,-0.620,18.738,18.738,-1.465
-0.021,0.803,-0.955,16.541,15.503,-7.446
-0.109,0.839,-1.048,6.836,3.418,-11.536
-0.143,0.842,-0.871,-19.165,-30.823,-11.108
-0.108,0.802,-0.739,-23.376,-39.917,-10.254
-0.084,0.777,-0.675,-19.409,-42.725,-12.817
-0.089,0.801,-0.642,-19.104,-43.518,-18.433
