aX,aY,aZ,gX,gY,gZ
-2.325,0.148,-2.510,-26.794,109.009,7.385
-2.350,0.229,-2.167,25.879,-33.264,-14.771
-0.971,0.356,0.263,-10.498,-55.664,-32.654
-0.336,0.244,0.504,7.385,10.010,-43.091
-0.075,0.024,-0.950,37.109,48.401,-36.438
-0.359,0.032,-1.463,47.852,22.827,-14.832
-0.725,0.270,-0.945,33.142,-12.268,-2.747
-0.787,0.511,-0.542,26.245,-25.574,2.258
-0.828,0.703,-0.610,27.710,-12.207,-10.071
-0.783,0.562,-0.788,0.427,-3.174,-33.447
-0.644,0.198,-0.818,-11.597,-6.592,-34.729
-0.684,0.123,-0.792,-14.954,-15.198,-20.691
-0.921,0.348,-0.848,-12.756,-22.339,-16.357
-1.051,0.566,-0.882,-11.963,-33.264,-23.926
-1.592,0.629,-0.922,-3.174,-77.332,-73.303
-2.053,0.521,-0.972,2.502,-117.126,-92.957
-2.652,0.355,-1.155,-2.380,-268.555,-87.463
-3.889,0.166,-1.961,0.183,-395.081,-60.425
-4.000,0.415,-2.343,-39.124,-697.510,-21.790
-4.000,1.143,-2.620,-83.130,-845.337,-38.818
-3.986,1.253,-2.404,-155.090,-1124.390,-69.336
-3.995,0.881,-1.694,-180.420,-1211.182,-58.533
-4.000,0.597,-1.456,-248.962,-1279.358,22.339
-4.000,0.258,-1.125,-279.053,-1370.788,74.036
-4.000,0.114,-0.020,-194.092,-1689.331,167.908
-4.000,0.279,4.000,-22.461,-1769.043,149.963
-3.980,0.116,4.000,438.293,-1191.833,-47.546
-2.783,-1.159,4.000,269.104,-753.052,-81.604
-1.784,-0.427,3.928,-140.503,-436.584,-5.005
-0.307,1.175,3.972,-345.276,-227.722,139.771
0.077,1.057,3.777,-162.476,-213.928,119.629
0.290,0.604,3.204,6.714,-100.525,60.669
0.438,0.170,1.442,-45.715,-31.982,67.383
0.297,0.504,0.615,-112.366,-17.883,101.624
0.051,0.787,0.062,-53.345,-65.063,84.229
0.006,0.629,0.371,0.488,-151.855,33.569
-0.106,0.540,1.203,-33.386,-163.086,25.635
-0.170,0.603,1.464,-59.021,-137.390,16.357
-0.158,0.656,1.464,-35.767,-102.966,14.832
-0.134,0.610,1.247,-13.977,-65.186,18.677
-0.100,0.574,0.979,-6.592,-37.048,23.193
-0.099,0.581,0.781,-3.418,-47.729,18.677
-0.132,0.581,0.901,-3.113,-56.091,7.568
-0.142,0.630,1.008,-1.404,-51.697,5.493
-0.157,0.590,1.016,38.696,-50.964,-0.977
-0.144,0.482,1.129,39.246,-48.645,-3.479
-0.152,0.470,1.206,5.066,-26.062,-6.226
-0.170,0.424,1.166,-13.000,-12.695,-2.747
-0.155,0.485,1.034,-38.940,0.671,8.667
-0.130,0.492,0.818,-32.715,-0.183,5.005
-0.139,0.420,0.782,-23.010,-2.380,-2.014
-0.160,0.379,0.823,-18.982,-5.371,-7.507
-0.207,0.384,0.926,-16.541,-3.479,-3.784
-0.216,0.412,0.924,-3.174,7.080,6.531
-0.181,0.394,0.888,-1.221,12.329,8.240
-0.163,0.352,0.834,-10.559,12.512,11.353
-0.147,0.392,0.834,-12.695,9.033,14.648
-0.152,0.446,0.849,-11.169,7.446,16.907
-0.135,0.566,0.817,-10.986,6.897,14.526
-0.130,0.568,0.807,-16.235,0.793,5.127
-0.149,0.511,0.832,-18.372,-2.075,3.052
-0.160,0.468,0.885,-15.076,-3.174,2.136
-0.167,0.422,0.914,0.427,3.479,3.052
-0.151,0.454,0.820,2.747,8.484,5.005
-0.147,0.512,0.765,0.427,5.981,2.808
-0.173,0.521,0.811,10.132,0.671,-0.244
-0.170,0.474,0.870,34.119,-1.709,-3.601
-0.170,0.409,0.924,32.959,0.671,-2.686
-0.168,0.419,0.939,14.404,8.972,2.747
-0.135,0.451,0.919,3.418,13.550,4.211
-0.118,0.457,0.883,-4.822,15.381,3.906
-0.119,0.460,0.847,-3.601,9.277,1.953
-0.145,0.468,0.861,13.916,6.897,1.221
-0.148,0.433,0.873,46.570,12.268,-0.488
-0.158,0.385,0.877,42.603,14.587,1.526
-0.142,0.388,0.883,20.081,12.390,7.874
-0.120,0.412,0.828,11.658,9.644,8.789
-0.129,0.420,0.797,-31.982,-4.700,8.240
-0.148,0.428,0.915,-44.739,-10.193,7.812
-0.147,0.401,0.939,-26.489,-5.920,6.958
-0.119,0.400,0.859,9.338,10.254,8.179
-0.114,0.425,0.826,1.099,9.277,9.155
-0.116,0.459,0.841,-28.503,-4.028,7.263
-0.143,0.435,0.934,-27.527,-7.385,3.357
-0.151,0.390,0.959,-31.738,-4.944,2.319
-0.137,0.393,0.926,-36.499,-0.366,4.517
-0.134,0.412,0.866,-16.907,6.348,6.165
-0.132,0.463,0.812,-9.705,5.188,6.042
-0.135,0.474,0.829,-2.625,0.854,2.686
-0.138,0.449,0.876,-1.465,0.671,0.549

